train/approx_kl,train/policy_gradient_loss,time/fps,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,time/iterations,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0068097715,-0.008516432950273156,1729,-1.3878357745707035,0.6117298603057861,0.053781620343215764,5804.22,0.0712890625,0.2,0.00025,389120,-18.19,0.008042177185416222,756,190,225,,
0.007457277,-0.007199546133051626,,-1.206115946173668,0.5788575410842896,0.06349767034407705,,0.0758056640625,0.2,0.00025,400000,,0.007071781903505325,780,,,-17.4,8415.2
0.008084883,-0.007215277059003711,1681,-1.2344451509416103,0.612297773361206,0.0587947474559769,6130.89,0.107666015625,0.2,0.00025,409600,-17.86,-0.0022202059626579285,796,200,243,,
0.0070609227,-0.0064395594235975295,1699,-1.1226958073675632,0.7400076389312744,0.03892533387988806,6482.02,0.069580078125,0.2,0.00025,430080,-17.54,0.0011051762849092484,836,210,253,,
0.012015565,-0.01078188327664975,,-1.0739182941615582,0.6434657573699951,0.060745777445845306,,0.1036376953125,0.2,0.00025,440000,,0.00876171886920929,856,,,-18.6,8335.6
0.010025229,-0.005991163066937588,1669,-0.979790024459362,0.6400712728500366,0.044654714642092586,6840.22,0.0587158203125,0.2,0.00025,450560,-17.13,0.011934627778828144,876,220,269,,
0.009042761,-0.008635540347313508,1687,-1.0781070329248905,0.5703199505805969,0.04707305273041129,7257.9,0.0684814453125,0.2,0.00025,471040,-16.66,-0.003413315862417221,916,230,279,,
0.010156812,-0.010624460323015228,,-1.0817178376019,0.7599359750747681,0.042072660638950765,,0.110595703125,0.2,0.00025,480000,,-0.001897977665066719,936,,,-14.2,8822.4
0.010372855,-0.0070970685192150995,1662,-1.0179825704544783,0.6122332811355591,0.04656691616401076,7609.46,0.0955810546875,0.2,0.00025,491520,-16.4,-0.003233877941966057,956,240,295,,
0.009441245,-0.011739198729628697,1679,-0.9169915523380041,0.7107702493667603,0.045999664114788175,7927.41,0.09619140625,0.2,0.00025,512000,-16.15,0.006433021277189255,996,250,304,,
0.007941104,-0.008212685002945364,,-0.9652437977492809,0.752785861492157,0.04190693364944309,,0.0948486328125,0.2,0.00025,520000,,-0.01172061637043953,1012,,,-3.2,9033.4
0.008067055,-0.011250456154812127,1646,-0.9770967401564121,0.6521483659744263,0.05439860583283007,8217.65,0.0958251953125,0.2,0.00025,532480,-15.79,-0.009930562227964401,1036,260,323,,
0.009984475,-0.007193465149612166,1662,-0.9682098384946585,0.7363399863243103,0.04972111852839589,8677.82,0.10986328125,0.2,0.00025,552960,-14.99,-0.00325842946767807,1076,270,332,,
0.008279184,-0.007847183995181695,,-0.897230876609683,0.6525060534477234,0.051090097171254456,,0.0792236328125,0.2,0.00025,560000,,-0.0004558563232421875,1092,,,15.8,9751.4
0.007220871,-0.007885397440986708,1624,-1.012828528881073,0.6465052962303162,0.05883124948013574,8993.46,0.092529296875,0.2,0.00025,573440,-14.33,-0.009537886828184128,1116,280,353,,
0.0080155535,-0.008266286487923935,1638,-1.1004971228539944,0.7296907901763916,0.059172244858928025,9234.12,0.0841064453125,0.2,0.00025,593920,-13.53,-0.01237928681075573,1156,290,362,,
0.007173378,-0.009645008452935144,,-1.0723464377224445,0.7608759999275208,0.04727242328226566,,0.093017578125,0.2,0.00025,600000,,-0.011626845225691795,1168,,,-3.2,11076.4
0.010186156,-0.010673919037799351,1596,-0.9577031191438437,0.72910076379776,0.07281798881012946,9549.57,0.0894775390625,0.2,0.00025,614400,-12.8,-3.138929605484009e-05,1196,300,384,,
0.011964277,-0.012428196918335743,1611,-0.9892838317900896,0.7534370422363281,0.049437816720455885,9902.75,0.113525390625,0.2,0.00025,634880,-11.57,-0.008481668308377266,1236,310,394,,
0.01070692,-0.010561609175056219,,-1.0242337435483932,0.6917407512664795,0.06680577644146979,,0.100830078125,0.2,0.00025,640000,,0.008515916764736176,1248,,,7.4,12267.2
0.010485789,-0.008740581455640495,1563,-1.0706352107226849,0.8040977120399475,0.042264708783477545,10129.97,0.1014404296875,0.2,0.00025,655360,-10.26,-0.014337873086333275,1276,320,419,,
0.009128343,-0.012145243032136932,1577,-1.0849140286445618,0.850155770778656,0.050652842270210385,10429.1,0.090087890625,0.2,0.00025,675840,-8.12,-0.008043622598052025,1316,330,428,,
0.012337176,-0.011042415178962983,,-1.0384275447577238,0.8667938709259033,0.04959941399283707,,0.0986328125,0.2,0.00025,680000,,-0.015091387555003166,1328,,,1.8,10676.8
0.010949242,-0.01394578893086873,1547,-1.0454193875193596,0.8574783802032471,0.04134989692829549,10567.11,0.088623046875,0.2,0.00025,696320,-6.99,-0.014028336852788925,1356,340,450,,
0.010671624,-0.009549919443088584,1560,-1.076024666428566,0.8687099814414978,0.03508180862991139,10748.42,0.1141357421875,0.2,0.00025,716800,-5.42,-0.01970996893942356,1396,350,459,,
0.013216317,-0.011859487509354949,,-1.12808633223176,0.7332765460014343,0.0638450556434691,,0.139892578125,0.2,0.00025,720000,,-0.005591444671154022,1404,,,5.0,10905.2
0.009345634,-0.01068244586349465,1537,-1.0842412039637566,0.8845002055168152,0.0421813377761282,10926.96,0.1202392578125,0.2,0.00025,737280,-4.6,-0.029707882553339005,1436,360,479,,
0.013690932,-0.01137026454671286,1549,-0.9614018201828003,0.8471497893333435,0.04129554406972602,11070.53,0.1160888671875,0.2,0.00025,757760,-2.72,-0.013993803411722183,1476,370,488,,
0.012834724,-0.009248831673176028,,-0.9430854562669992,0.7891354560852051,0.05115930107422173,,0.1192626953125,0.2,0.00025,760000,,-0.0059122852981090546,1484,,,-6.8,10632.4
0.013847822,-0.012451138638425618,1527,-0.9045811556279659,0.8174052834510803,0.045100185670889914,11129.11,0.1290283203125,0.2,0.00025,778240,-2.03,-0.0030178148299455643,1516,380,509,,
0.01551441,-0.015437835376360454,1537,-0.9231319651007652,0.807531476020813,0.04753024404635653,11185.87,0.1343994140625,0.2,0.00025,798720,-0.85,-0.02212606556713581,1556,390,519,,
0.012766151,-0.012588252604473382,,-0.9056668728590012,0.7808980941772461,0.04980693443212658,,0.1085205078125,0.2,0.00025,800000,,-0.020060725510120392,1560,,,6.8,11036.4
0.008994728,-0.01010545136523433,1515,-0.952725138515234,0.8321436643600464,0.04407901375088841,11432.4,0.1026611328125,0.2,0.00025,819200,0.15,-0.009607002139091492,1596,400,540,,
0.011794728,-0.011948820610996336,1527,-0.9328891448676586,0.8069663047790527,0.05030543066095561,11476.98,0.1109619140625,0.2,0.00025,839680,1.1,-0.011908045038580894,1636,410,549,,
0.0138623435,-0.012742287319269963,,-0.9533000085502863,0.8206530809402466,0.04327984253177419,,0.1259765625,0.2,0.00025,840000,,-0.015354063361883163,1640,,,-3.0,9785.2
0.010010169,-0.011497297789901495,1514,-0.9672428574413061,0.8707634210586548,0.042967702029272914,11465.15,0.1185302734375,0.2,0.00025,860160,1.49,-0.014204726554453373,1676,420,568,,
0.014456885,-0.01265123848861549,,-1.0055209882557392,0.9146289825439453,0.04138781310757622,,0.138671875,0.2,0.00025,880000,,-0.019332587718963623,1716,,,-2.8,9865.4
,,1502,,,,11460.76,,,,880640,1.64,,,430,586,,
0.013334017,-0.01037784875370562,1513,-1.1407678611576557,0.8189290165901184,0.0523652428528294,11404.64,0.1463623046875,0.2,0.00025,901120,2.27,-0.016271522268652916,1756,440,595,,
0.0121754985,-0.013610468740807846,,-1.11970991268754,0.7410866618156433,0.04033062397502363,,0.1060791015625,0.2,0.00025,920000,,-0.037339549511671066,1796,,,6.8,10610.8
,,1496,,,,11295.38,,,,921600,2.35,,,450,615,,
0.011303617,-0.01365640532458201,1506,-1.0958615951240063,0.8207430243492126,0.04673950944561511,11312.24,0.0843505859375,0.2,0.00025,942080,1.96,-0.02335885539650917,1836,460,625,,
0.014792528,-0.017018324928358197,,-1.0511952377855778,0.7448633909225464,0.04496295296121389,,0.1357421875,0.2,0.00025,960000,,-0.013361390680074692,1872,,,3.2,15550.8
0.015093065,-0.0148290842626011,1470,-1.046263787895441,0.7964641451835632,0.033006443234626204,11356.7,0.1376953125,0.2,0.00025,962560,1.94,-0.030057741329073906,1876,470,654,,
0.011455198,-0.016290151077555493,1480,-1.0316009912639856,0.8276556730270386,0.02900495775975287,11493.23,0.1241455078125,0.2,0.00025,983040,2.2,-0.04449499770998955,1916,480,663,,
0.014656831,-0.015374169714050367,,-1.0995194166898727,0.8372372388839722,0.03299727296689525,,0.1123046875,0.2,0.00025,1000000,,-0.028097106143832207,1952,,,8.2,17099.0
0.011064054,-0.012172777482192032,1452,-1.1450347267091274,0.8405135869979858,0.03113792627118528,11821.68,0.127685546875,0.2,0.00025,1003520,1.75,-0.029564084485173225,1956,490,690,,
0.012251531,-0.014072996185859665,1462,-1.09610615670681,0.743710994720459,0.05769557796884328,12007.55,0.11181640625,0.2,0.00025,1024000,2.18,-0.02319939434528351,1996,500,700,,
0.01181867,-0.017893011769047007,,-1.1504134014248848,0.7070795297622681,0.046267497120425105,,0.121337890625,0.2,0.00025,1040000,,-0.027907202020287514,2028,,,4.6,12604.4
0.011823285,-0.014053475926630199,1445,-1.0643774271011353,0.7263696193695068,0.046109991148114204,11978.72,0.0999755859375,0.2,0.00025,1044480,1.9,-0.022041279822587967,2036,510,722,,
0.012182055,-0.015790071862284094,1455,-1.0383134726434946,0.8476554155349731,0.03233935544267297,12108.69,0.1168212890625,0.2,0.00025,1064960,1.8,-0.030270269140601158,2076,520,731,,
0.014218474,-0.014094545738771558,,-0.9687808342278004,0.6835991740226746,0.04516356869135052,,0.130859375,0.2,0.00025,1080000,,-0.018779482692480087,2108,,,12.2,10867.0
0.020818032,-0.017302332125836983,1447,-1.021948529407382,0.7554418444633484,0.03753601055359468,12275.17,0.1640625,0.2,0.00025,1085440,2.5,-0.011142656207084656,2116,530,749,,
0.017375147,-0.021270575700327754,1457,-1.109811969101429,0.842087984085083,0.033330544421914965,12210.52,0.1451416015625,0.2,0.00025,1105920,2.75,-0.03050210326910019,2156,540,758,,
0.012774198,-0.016247772582573816,,-1.1339948028326035,0.9205310344696045,0.01938636542763561,,0.120361328125,0.2,0.00025,1120000,,-0.04695684462785721,2184,,,16.2,11000.6
0.011664657,-0.02010068009258248,1441,-1.1721492782235146,0.8829079270362854,0.026151568366913125,12198.53,0.1326904296875,0.2,0.00025,1126400,3.46,-0.04010721296072006,2196,550,781,,
0.015258224,-0.01964120037155226,1450,-1.2313204854726791,0.8538201451301575,0.02152293300605379,12187.14,0.12744140625,0.2,0.00025,1146880,4.35,-0.04859791323542595,2236,560,790,,
0.013500437,-0.020799862424610183,,-1.1778873018920422,0.8414590954780579,0.03439776541199535,,0.1246337890625,0.2,0.00025,1160000,,-0.028117770329117775,2264,,,7.4,13444.4
0.015713975,-0.023544398616650142,1430,-1.2501263208687305,0.8470929861068726,0.03867798298597336,12281.33,0.1231689453125,0.2,0.00025,1167360,5.01,-0.05033044144511223,2276,570,816,,
0.014114375,-0.02502224837371614,1439,-1.105919100344181,0.900800883769989,0.029909461445640773,12337.91,0.1339111328125,0.2,0.00025,1187840,5.41,-0.05590938776731491,2316,580,825,,
0.014153032,-0.02272811086731963,,-1.0820725597441196,0.8468040823936462,0.03309145086677745,,0.1201171875,0.2,0.00025,1200000,,-0.03336702659726143,2340,,,10.0,12175.6
0.012255311,-0.01992263679858297,1425,-1.1775489784777164,0.8161545991897583,0.047738781198859215,12383.49,0.113525390625,0.2,0.00025,1208320,6.43,-0.022108282893896103,2356,590,847,,
0.01518581,-0.021230981525150128,1433,-1.1106537692248821,0.8131557703018188,0.03431213984731585,12505.92,0.129638671875,0.2,0.00025,1228800,6.73,-0.03670801967382431,2396,600,857,,
0.015211244,-0.022663854499114677,,-1.130096185952425,0.8590009212493896,0.029909518256317824,,0.1259765625,0.2,0.00025,1240000,,-0.02872483804821968,2420,,,13.6,14566.0
0.013619244,-0.01960679786861874,1419,-1.1173763051629066,0.8270071148872375,0.03675509849563241,12460.83,0.1265869140625,0.2,0.00025,1249280,7.33,-0.042435213923454285,2436,610,879,,
0.0150759425,-0.01687873518676497,1427,-1.0561761111021042,0.8802089691162109,0.030884550884366035,12544.34,0.1412353515625,0.2,0.00025,1269760,7.16,-0.01953263208270073,2476,620,889,,
0.011331956,-0.016506968502653763,,-1.069921139627695,0.7685146927833557,0.041489111026749015,,0.1119384765625,0.2,0.00025,1280000,,-0.03596319258213043,2496,,,7.4,13492.6
0.01492765,-0.0209245897422079,1411,-1.0341976024210453,0.8746355175971985,0.030754504026845098,12367.74,0.13623046875,0.2,0.00025,1290240,7.94,-0.04586910456418991,2516,630,914,,
0.021214936,-0.0201561753929127,1419,-0.9398244321346283,0.9018318057060242,0.022090189246227965,12336.87,0.155029296875,0.2,0.00025,1310720,8.3,-0.03676918148994446,2556,640,923,,
0.014269341,-0.018761193729005754,,-0.9564973544329405,0.8275973796844482,0.03647192951757461,,0.1124267578125,0.2,0.00025,1320000,,-0.03158656507730484,2576,,,14.2,11310.2
0.01388677,-0.02094857495103497,1408,-1.0438296534121037,0.9254035949707031,0.01604706299258396,12117.81,0.1143798828125,0.2,0.00025,1331200,9.09,-0.02769065834581852,2596,650,945,,
0.017920354,-0.019247604272095487,1415,-0.9444908760488033,0.8909540772438049,0.027654022036585957,12070.96,0.16015625,0.2,0.00025,1351680,9.8,-0.03623811900615692,2636,660,954,,
0.015299033,-0.017355837277136743,,-0.9103189148008823,0.8215916156768799,0.038848736439831555,,0.114990234375,0.2,0.00025,1360000,,-0.03174087032675743,2656,,,15.8,11596.4
0.01863347,-0.02149052478489466,1410,-0.8979442287236452,0.8426207900047302,0.035054548585321754,12065.67,0.1402587890625,0.2,0.00025,1372160,9.51,-0.03193441778421402,2676,670,973,,
